StartDate,Q1,user_id,StartDate_month_day,group
2024-09-29 12:30:09,今日は6時に起きてからゴミ出しをしてすぐに早朝の町内会の会合に出席しました。というのも最近、地震が多くて非常に不安ということで急遽、早朝の地震で地域の避難場所へ避難という想定で炊き出しなども行ったのです。かなりリアルなシナリオが作られていて、それに応じた避難の想定行動を行うことができとても勉強になりました。いざという時に、これなら落ち着いて行動ができそうです。,94338,09月29日,groupc
2024-09-29 12:32:44,今日は仕事が休みだったので、お家のことをする日にしました。   朝 回転と同時にスーパーに行き、野菜やお肉などの買い出しをしました。    葡萄や梨、さんまなどの秋の味覚が並んでいて、まだまだ暑いけど秋は来たんだなと思いました。 午後はこれからランニングに行く予定です。河川敷を走ると風がほんのり涼しく感じ、て気持ちいいだろうなと思っています,5034632,09月29日,groupa
2024-09-29 12:39:09,今日は中心地へ出かけました。目的は、よく車に乗せてもらう友人へのプチギフトを買うためです。あまり大袈裟なものになってしまうと、かえって相手に気を遣わせてしまうので、1000円以下のティーパック詰め合わせにしました。喜んでもらえるとうれしいです。,3935504,09月29日,groupb
2024-09-29 12:38:02,昨日の疲れが取れずやや寝坊気味に起床しました。洗濯機を3回まわして午前中はのんびり過ごしました。近くに住む親戚がお菓子のお裾分けを持ってきてくれたので受け取りました。昨晩の夕食を食べ過ぎたので朝はお腹が空いておらず、お昼ご飯もそんなに空腹を感じなかったので軽く済ませて終わりました。,2977582,09月29日,groupa
2024-09-29 12:36:04,今日も子供の部活があるため、早朝からお弁当作りと朝ご飯作りをした。部活は上の子1人だけで、下の子はいつよよりゆっくり寝ていた。7:50に上の子を駅まで送ると、その後洗濯や洗い物の家事をした。下の子が起きたので、朝ご飯を作り、自分も食べた。下の子は定期テストが近いため、今日は一日中勉強をするので、側にいて困ったら助けようと思う。,5289773,09月29日,groupa
2024-09-29 12:38:16,眠れず未明から散歩に出た。金木犀の場所をいくつか知っているので、この時期は特にそう思わずともふらっと嗅ぎに行くことが多い。年によっては1シーズン2回咲くのに今年はまだのよう。4時間ほどでテレビを見るため起き、昼のうちに隣町へ食料品の調達。最近の平日は急な仕事が入ることも多いうえ、雨の合間をぬって予定を組む必要があるので、こんなタイミングでないと気楽に外出できないのが少々ストレスになっている,2141268,09月29日,groupb
2024-09-29 12:39:46,１ヶ月ぶりにシューズを履いて練習した。床を上手く掴めず、ただただ疲労感が凄くて落ち込む。夢の中でも踊っていた。マスクをして踊る、練習前にカフェインを摂りすぎる、お腹が空いているのにご飯を我慢する、身体の声(疲れたなど)を無視しているのが、より疲労を招いてしまっている気がする。今日は少し自分に優しくしたい。,4462118,09月29日,groupc
2024-09-29 12:38:26,本日も出勤日。ランチは近くのタイ料理屋さんに行った。クルンサイアムは自由ヶ丘の店舗を利用したことがあり、タイ料理を好きになるきっかけになったお店だ。別店舗であるが何年ぶりかの訪問である。ガパオライスを頼んだ。これまで食べたどのお店より美味しい。やはりタイ料理ならクルンサイアムが好みであり間違いない。ただ、辛さ控えめにしたのに辛い。デザートにカノムモーケンというタロイモのプリンを注文した。初めて食べる。ピーナッツの香ばしさと芋の甘味がとても合っている温かいデザートなのも良い。やはり体は温めた方がいいよね。,1147884,09月29日,groupb
2024-09-29 12:41:01,今日は遅めに起床。昨夜はお腹を壊してしまって大変だったが、今朝には回復して安心した。季節の変わり目なので体調に気をつけて過ごしていきたい。今日も飼い猫が甘えん坊でニャーニャー鳴いて後をついてくる。きっと構ってほしいのだろう。ご飯をあげてからたくさん撫でてあげた。猫も喜んだ様子だが、私も嬉しくなった。,4658590,09月29日,groupc
2024-09-29 12:50:35,今日は母の仕事が休みなので、一緒にお昼ご飯を食べに行った。土佐藁わら焼き 龍神丸というお店で鰹のたたきが有名な店だが、妊娠中で生魚を食べれないため、カキフライを注文した。白米は小さな釜で炊くタイプで出来立てのお米は美味しかった。,4006340,09月29日,groupa
