group,dependent_var,residuals_std
groupb,ave_PANAS_P,0.7700284700202745
groupb,ave_PANAS_N,0.9293883999294844
groupb,ave_competence,0.7805700194085472
groupb,ave_warmth,0.6023507942217743
groupb,ave_willingness,0.9544478843815369
groupb,ave_understanding,0.7715452159181382
groupb,ave_satisfaction,0.8893679747969254
groupb,ave_effectiveness,0.7870598355947176
groupb,ave_efficiency,0.7305564761216996
groupa,ave_PANAS_P,0.8368045490580386
groupa,ave_PANAS_N,0.7834389883645699
groupa,ave_competence,0.7008943169634629
groupa,ave_warmth,0.5462520633711283
groupa,ave_willingness,0.926725163296667
groupa,ave_understanding,0.7758584553071359
groupa,ave_satisfaction,0.7862246469197539
groupa,ave_effectiveness,0.6759590546121451
groupa,ave_efficiency,0.4944658375041911
groupc,ave_PANAS_P,0.866317045993975
groupc,ave_PANAS_N,0.7653786510148153
groupc,ave_competence,0.6941042471836302
groupc,ave_warmth,0.42292565724454995
groupc,ave_willingness,0.9956198007727114
groupc,ave_understanding,0.6080676116169383
groupc,ave_satisfaction,0.8649792131113337
groupc,ave_effectiveness,0.755929897594381
groupc,ave_efficiency,0.7767631032536849
